loc_rowid,pl_name,hostname,pl_letter,sy_snum,sy_pnum,disc_year,pl_orbper,pl_rade,pl_masse,pl_eqt,st_spectype,st_teff,sy_dist
15999,Kepler-1699 b,Kepler-1699,b,1,1,2020,3.49078834,1.41,NA,1013,NA,5513,818.759
35675,TOI-1062 b,TOI-1062,b,1,2,2021,4.1150576,2.30057,NA,826,NA,5394,82.1733
35677,TOI-1062 c,TOI-1062,c,1,2,2021,7.972,NA,NA,859,G9 V,5328,82.1733
3776,HD 93963 A b,HD 93963 A,b,2,2,2022,1.0376109,1.53671,NA,1926,NA,5922,82.3432
3780,HD 93963 A c,HD 93963 A,c,2,2,2022,3.6451398,3.228,19.2,1344,G0 V,5987,82.3432
2188,HD 135872 b,HD 135872,b,1,1,2022,2422.32597,NA,1744.56012602,NA,NA,NA,82.4251
5416,K2-384 b,K2-384,b,1,5,2022,2.231527,1.076,NA,NA,M4 V,3623,82.6603
5417,K2-384 c,K2-384,c,1,5,2022,4.19525,1.05,NA,NA,NA,NA,82.6603
5419,K2-384 d,K2-384,d,1,5,2022,6.6791,1.1,NA,NA,NA,NA,82.6603
5421,K2-384 e,K2-384,e,1,5,2022,9.71601,1.14,NA,NA,NA,NA,82.6603
5423,K2-384 f,K2-384,f,1,5,2022,13.62749,2.222,NA,NA,M4 V,3623,82.6603
36722,TOI-5076 b,TOI-5076,b,2,1,2024,23.445,3.2,16,615,K2 V,5070,82.857
152,75 Cet b,75 Cet,b,2,2,2012,696.62,NA,NA,NA,G3 III,4809,82.9613
154,75 Cet c,75 Cet,c,2,2,2023,2051.62,NA,NA,NA,G3 III,4809,82.9613
5764,K2-9 b,K2-9,b,1,1,2015,18.44951,3.09,NA,NA,NA,NA,82.9631
16770,Kepler-1767 b,Kepler-1767,b,1,1,2021,59.65869219,NA,NA,NA,NA,5172.78,820.506
35115,NSVS 14256825 b,NSVS 14256825,b,2,1,2019,3225,NA,NA,NA,NA,40000,820.877
9181,Kepler-1167 b,Kepler-1167,b,1,1,2016,1.003931703,1.6,NA,1419,NA,4949,820.905
33244,Kepler-876 b,Kepler-876,b,1,1,2016,5.1443645,NA,NA,NA,NA,5023,820.913
18048,Kepler-1873 b,Kepler-1873,b,1,1,2021,0.5588406,1.19,NA,1684,NA,5046,820.957
35212,OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,b,1,1,2016,NA,NA,230,NA,NA,NA,8200
35050,NGC 2682 Sand 978 b,NGC 2682 Sand 978,b,1,1,2017,511.21,NA,NA,NA,K4 III,4200,821.918
32899,Kepler-849 b,Kepler-849,b,1,1,2016,394.6244904,8.26,NA,337,NA,5858,822.134
31525,Kepler-76 b,Kepler-76,b,1,1,2013,1.544928884,NA,NA,NA,F,6409,822.96
23929,Kepler-325 b,Kepler-325,b,1,3,2014,4.544436472,3,NA,1017,NA,5445,823.242
23941,Kepler-325 c,Kepler-325,c,1,3,2014,12.76224947,2.97,NA,NA,NA,5535,823.242
23953,Kepler-325 d,Kepler-325,d,1,3,2014,38.715185,2.79,NA,NA,NA,5752,823.242
34013,Kepler-936 b,Kepler-936,b,1,1,2016,10.56134221,1.92,NA,867,NA,5610,823.399
25572,Kepler-377 b,Kepler-377,b,1,2,2014,12.5093496594,NA,NA,NA,NA,5974,823.804
25583,Kepler-377 c,Kepler-377,c,1,2,2014,27.01448406,NA,NA,NA,NA,5974,823.804
22480,Kepler-285 b,Kepler-285,b,1,2,2014,2.633857233,1.4,NA,1125,NA,5400,824.31
22491,Kepler-285 c,Kepler-285,c,1,2,2014,6.18670882,1.21,NA,851,NA,5114,824.31
34276,Kepler-957 b,Kepler-957,b,1,1,2016,5.907413537,5.04,NA,769,NA,4963,824.688
6166,KMT-2021-BLG-1077L b,KMT-2021-BLG-1077L,b,1,2,2022,NA,NA,69.92224954,NA,M V,NA,8240
6168,KMT-2021-BLG-1077L c,KMT-2021-BLG-1077L,c,1,2,2022,NA,NA,79.45710175,NA,M V,NA,8240
9691,Kepler-1208 b,Kepler-1208,b,1,1,2016,11.08507658,NA,NA,NA,NA,4862,825.176
17099,Kepler-1796 b,Kepler-1796,b,1,1,2021,29.4557841,NA,NA,NA,NA,6103,825.883
20468,Kepler-229 b,Kepler-229,b,1,3,2014,6.2530154942,NA,NA,NA,NA,4881,826.265
20480,Kepler-229 c,Kepler-229,c,1,3,2014,NA,4.879,NA,NA,NA,5002,826.265
20492,Kepler-229 d,Kepler-229,d,1,3,2014,NA,3.272,NA,NA,NA,5002,826.265
23802,Kepler-320 b,Kepler-320,b,1,2,2014,8.37159554,2.39,NA,1292,NA,6426,826.613
23811,Kepler-320 c,Kepler-320,c,1,2,2014,17.9346563,1.41,NA,777,NA,6412,826.613
16215,Kepler-172 b,Kepler-172,b,1,4,2014,2.940304817,2.59,NA,1256,NA,5527,828.592
