ds,y
2006-06-01,49.332
2006-07-01,55.414
2006-08-01,58.117
2006-09-01,55.076
2006-10-01,60.82
2006-11-01,65.551
2006-12-01,66.902
2007-01-01,59.807
2007-02-01,62.172
2007-03-01,59.469
2007-04-01,61.496
2007-05-01,63.861
2007-06-01,59.469
2007-07-01,58.455
2007-08-01,61.834
2007-09-01,58.117
2007-10-01,67.24
2007-11-01,67.578
2007-12-01,73.322
2008-01-01,58.455
2008-02-01,67.578
2008-03-01,68.254
2008-04-01,65.889
2008-05-01,64.537
2008-06-01,63.861
2008-07-01,69.267
2008-08-01,72.984
2008-09-01,72.308
2008-10-01,82.445
2008-11-01,81.769
2008-12-01,95.961
2009-01-01,76.701
2009-02-01,79.404
2009-03-01,84.135
2009-04-01,76.025
2009-05-01,74.674
2009-06-01,68.592
2009-07-01,75.687
2009-08-01,75.687
2009-09-01,74.674
2009-10-01,81.094
2009-11-01,87.514
2009-12-01,99.34
2010-01-01,89.541
2010-02-01,86.838
2010-03-01,91.23
2010-04-01,81.431
2010-05-01,84.472
2010-06-01,80.418
2010-07-01,79.066
2010-08-01,84.472
2010-09-01,75.012
2010-10-01,88.189
2010-11-01,85.486
2010-12-01,101.029
2011-01-01,90.217
2011-02-01,82.107
2011-03-01,87.514
2011-04-01,78.728
2011-05-01,75.012
2011-06-01,68.592
2011-07-01,72.646
2011-08-01,72.646
2011-09-01,71.633
2011-10-01,84.135
2011-11-01,83.121
2011-12-01,97.988
2012-01-01,92.582
2012-02-01,84.135
2012-03-01,88.527
2012-04-01,87.851
2012-05-01,87.851
2012-06-01,73.66
2012-07-01,79.742
2012-08-01,82.107
2012-09-01,83.797
2012-10-01,86.5
2012-11-01,90.217
2012-12-01,99.34
