ds,y
2013-04-01,519.985
2013-05-01,518.18
2013-06-01,521.5
2013-07-01,530.848
2013-08-01,539.112
2013-09-01,517.891
2013-10-01,524.063
2013-11-01,545.5
2013-12-01,560.911
2014-01-01,504.358
2014-02-01,484.292
2014-03-01,478.986
2014-04-01,477.326
2014-05-01,478.265
2014-06-01,482.704
2014-07-01,488.081
2014-08-01,490.824
2014-09-01,480.141
2014-10-01,489.2
2014-11-01,517.134
2014-12-01,535.323
2015-01-01,489.308
2015-02-01,472.093
2015-03-01,475.738
2015-04-01,478.192
2015-05-01,476.208
2015-06-01,481.044
2015-07-01,485.771
2015-08-01,486.493
2015-09-01,473.645
2015-10-01,487.865
2015-11-01,518.18
2015-12-01,532.688
2016-01-01,487.107
2016-02-01,467.546
2016-03-01,467.366
2016-04-01,471.408
2016-05-01,473.104
2016-06-01,481.188
2016-07-01,485.374
2016-08-01,490.788
2016-09-01,483.895
2016-10-01,496.31
2016-11-01,534.204
2016-12-01,555.678
2017-01-01,496.526
2017-02-01,476.099
2017-03-01,480.141
2017-04-01,480.683
2017-05-01,481.982
2017-06-01,486.854
2017-07-01,491.943
2017-08-01,499.63
2017-09-01,492.123
2017-10-01,505.549
2017-11-01,564.123
2017-12-01,570.402
2018-01-01,512.767
2018-02-01,484.111
2018-03-01,483.029
2018-04-01,478.517
2018-05-01,481.188
2018-06-01,489.38
2018-07-01,497.465
2018-08-01,506.343
2018-09-01,489.38
2018-10-01,492.845
2018-11-01,543.732
2018-12-01,564.881
2019-01-01,502.337
2019-02-01,479.275
2019-03-01,476.568
2019-04-01,480.538
2019-05-01,480.719
2019-06-01,484.328
2019-07-01,491.113
2019-08-01,495.407
2019-09-01,478.229
2019-10-01,487.865
2019-11-01,531.317
2019-12-01,547.305
2020-01-01,489.741
2020-02-01,469.603
2020-03-01,468.953
2020-04-01,467.221
2020-05-01,473.104
2020-06-01,478.878
2020-07-01,485.627
2020-08-01,490.102
2020-09-01,474.259
2020-10-01,493.675
2020-11-01,531.461
2020-12-01,539.798
2021-01-01,491.257
2021-02-01,474.295
2021-03-01,470.794
2021-04-01,470.758
2021-05-01,473.717
2021-06-01,479.853
2021-07-01,489.092
2021-08-01,491.185
2021-09-01,483.029
