ds,y
2013-03-01,264.241
2013-04-01,251.583
2013-05-01,251.583
2013-06-01,254.747
2013-07-01,215.19
2013-08-01,219.937
2013-09-01,216.772
2013-10-01,250.0
2013-11-01,294.304
2013-12-01,373.418
2014-01-01,246.836
2014-02-01,243.671
2014-03-01,275.317
2014-04-01,267.405
2014-05-01,251.583
2014-06-01,237.342
2014-07-01,231.013
2014-08-01,226.266
2014-09-01,237.342
2014-10-01,245.253
2014-11-01,267.405
2014-12-01,379.747
2015-01-01,240.507
2015-02-01,219.937
2015-03-01,287.975
2015-04-01,280.064
2015-05-01,267.405
2015-06-01,226.266
2015-07-01,218.355
2015-08-01,202.532
2015-09-01,200.95
2015-10-01,231.013
2015-11-01,262.658
2015-12-01,349.684
2016-01-01,238.924
2016-02-01,218.355
2016-03-01,257.912
2016-04-01,256.329
2016-05-01,248.418
2016-06-01,250.0
2016-07-01,254.747
2016-08-01,243.671
2016-09-01,248.418
2016-10-01,243.671
2016-11-01,267.405
2016-12-01,381.329
2017-01-01,237.342
2017-02-01,235.76
2017-03-01,273.734
2017-04-01,276.899
2017-05-01,272.152
2017-06-01,262.658
2017-07-01,359.178
2017-08-01,348.102
2017-09-01,352.848
2017-10-01,332.279
2017-11-01,348.102
2017-12-01,569.621
2018-01-01,319.621
2018-02-01,333.861
2018-03-01,348.102
2018-04-01,367.089
2018-05-01,381.329
2018-06-01,371.836
2018-07-01,346.519
2018-08-01,343.355
2018-09-01,330.697
2018-10-01,433.545
2018-11-01,460.443
2018-12-01,799.051
2019-01-01,462.026
2019-02-01,449.368
2019-03-01,444.621
2019-04-01,507.912
2019-05-01,526.899
2019-06-01,477.849
2019-07-01,537.975
2019-08-01,514.241
2019-09-01,474.684
2019-10-01,398.735
2019-11-01,462.026
2019-12-01,726.267
2020-01-01,465.19
2020-02-01,390.823
2020-03-01,447.785
2020-04-01,376.583
2020-05-01,378.165
2020-06-01,346.519
2020-07-01,386.076
2020-08-01,363.924
2020-09-01,351.266
2020-10-01,348.102
2020-11-01,378.165
2020-12-01,580.697
